id,title,description,google_product_category,link,image_link,condition,availability,price,brand
17,"서울드래곤시티 - 이비스 스타일 앰배서더 서울 용산","용산역에서 도보 3분 거리에 위치한 이비스 스타일 앰배서더 서울 용산은 비즈니스 및 레저 여행객 모두에게 완벽한 숙박 시설입니다. 현대적인 시설과 편안한 객실을 제공합니다.",1475,https://www.livinginhotel.com/hotel/17,https://d2pyzcqibfhr70.cloudfront.net/images/0/2022-08-12/gCmzkC7XjVHxdvLBEq1JR3erXLVIj1H76afgZETI.png,new,in stock,291900.00 KRW,"이비스 스타일"
92,"서울드래곤시티 - 노보텔 앰배서더 서울 용산","용산역에서 도보 3분 거리에 위치한 노보텔 앰배서더 서울 용산은 프리미엄 비즈니스 호텔로, 뛰어난 서비스와 편의시설을 제공합니다. 국제회의센터와 연결되어 있어 비즈니스 출장에 최적입니다.",1475,https://www.livinginhotel.com/hotel/92,https://d2pyzcqibfhr70.cloudfront.net/images/0/2022-08-12/jjB5D0PLvtx1TxgJMcEfsVSlFBFLPKiUw20mQGTU.jpg,new,in stock,344400.00 KRW,"""노보텔"""
